laureate_id,prize_name,prize_country,prize_founding_year,year,session,author,author_country,author_continent,book_title,publisher,notes,attribution_type,decade
L0494,Akutagawa Prize,Japan,1935,1935,H1,Tatsuzō Ishikawa,Japan,Asia,Sōbō (蒼氓),Seiza (星座),,Standard,1930
L0495,Akutagawa Prize,Japan,1935,1935,H2,,,,,,No prize awarded,No prize,1930
L0497,Akutagawa Prize,Japan,1935,1936,H1,Tomoya Tsuruta,Japan,Asia,Koshamain-Ki (コシャマイン記),Shōsetsu (小説),Co-laureate,Co-laureate,1930
L0496,Akutagawa Prize,Japan,1935,1936,H1,Takeo Oda,Japan,Asia,Jōgai (城外),Bungaku Seikatsu (文學生活),Co-laureate,Co-laureate,1930
L0498,Akutagawa Prize,Japan,1935,1936,H2,Jun Ishikawa,Japan,Asia,"The Bodhisattva (普賢, Fugen)",Sakuhin (作品),Co-laureate,Co-laureate,1930
L0499,Akutagawa Prize,Japan,1935,1936,H2,Uio Tomisawa,Japan,Asia,Chichūkai (地中海),Tōyō (東陽),Co-laureate,Co-laureate,1930
L0500,Akutagawa Prize,Japan,1935,1937,H1,Kazuo Ozaki,Japan,Asia,"Rosy Glasses (暢氣眼鏡 他, Nonki Megane)",Jinbutsu Hyōron (人物評論),,Standard,1930
L0501,Akutagawa Prize,Japan,1935,1937,H2,Ashihei Hino,Japan,Asia,Fun'nyōtan (糞尿譚),Bungaku Kaigi (文學会議),,Standard,1930
L0502,Akutagawa Prize,Japan,1935,1938,H1,Gishū Nakayama,Japan,Asia,Atsumonozaki (厚物咲),Bungakukai,,Standard,1930
L0503,Akutagawa Prize,Japan,1935,1938,H2,Tsuneko Nakazato,Japan,Asia,Noriaibasha (乗合馬車 他),Bungakukai,,Standard,1930
L0505,Akutagawa Prize,Japan,1935,1939,H1,Ken Hase,Japan,Asia,Asakusa no Kodomo (あさくさの子供),(虚實),Co-laureate,Co-laureate,1930
L0504,Akutagawa Prize,Japan,1935,1939,H1,Yoshiyuki Handa,Japan,Asia,Niwatori Sōdō (鶏騒動),Bungei Shuto (文藝首都),Co-laureate,Co-laureate,1930
L0506,Akutagawa Prize,Japan,1935,1939,H2,Kōtarō Samukawa,Japan,Asia,Mitsuryōsha (密獵者),Sōsaku (創作),,Standard,1930
L0507,Akutagawa Prize,Japan,1935,1940,H1,Takagi Taku,Japan,Asia,Uta to mon no tate (歌と門の盾),,Refused by the author,Refused,1940
