prize,country,year,session,author,author_country,book_title,publisher,notes
Akutagawa,Japan,1935,H1,Tatsuzō Ishikawa,Japan,Sōbō (蒼氓),Seiza (星座),
Akutagawa,Japan,1935,H2,,Japan,,,No prize awarded
Akutagawa,Japan,1936,H1,Takeo Oda,Japan,Jōgai (城外),Bungaku Seikatsu (文學生活),
Akutagawa,Japan,1936,H1,Tomoya Tsuruta,Japan,Koshamain-Ki (コシャマイン記),Shōsetsu (小説),
Akutagawa,Japan,1936,H2,Jun Ishikawa,Japan,"The Bodhisattva (普賢, Fugen)",Sakuhin (作品),
Akutagawa,Japan,1936,H2,Uio Tomisawa,Japan,Chichūkai (地中海),Tōyō (東陽),
Akutagawa,Japan,1937,H1,Kazuo Ozaki,Japan,"Rosy Glasses (暢氣眼鏡 他, Nonki Megane)",Jinbutsu Hyōron (人物評論),
Akutagawa,Japan,1937,H2,Ashihei Hino,Japan,Fun'nyōtan (糞尿譚),Bungaku Kaigi (文學会議),
Akutagawa,Japan,1938,H1,Gishū Nakayama,Japan,Atsumonozaki (厚物咲),Bungakukai,
Akutagawa,Japan,1938,H2,Tsuneko Nakazato,Japan,Noriaibasha (乗合馬車 他),Bungakukai,
Akutagawa,Japan,1939,H1,Yoshiyuki Handa,Japan,Niwatori Sōdō (鶏騒動),Bungei Shuto (文藝首都),
Akutagawa,Japan,1939,H1,Ken Hase,Japan,Asakusa no Kodomo (あさくさの子供),(虚實),
Akutagawa,Japan,1939,H2,Kōtarō Samukawa,Japan,Mitsuryōsha (密獵者),Sōsaku (創作),
Akutagawa,Japan,1940,H1,Takagi Taku,Japan,Uta to mon no tate (歌と門の盾),,Refused by the author
Akutagawa,Japan,1940,H2,Tsunehisa Sakurada,Japan,Hiraga Gen'nai (平賀源内),Sakka Seishin (作家精神),
Akutagawa,Japan,1941,H1,Yūkei Tada,Japan,Chōkō Deruta (長江デルタ),Tairiku Ōrai (大陸往来),
Akutagawa,Japan,1941,H2,Yoshiko Shibaki,Japan,Seika no Ichi (青果の市),Bungei Shuto (文芸首都),
Akutagawa,Japan,1942,H1,,Japan,,,No prize awarded
Akutagawa,Japan,1942,H2,Toshio Kuramitsu,Japan,Renrakuin (連絡員),Seitō (正統),
Akutagawa,Japan,1943,H1,Kikuzō Ishizuka,Japan,Tensoku no Koro (纏足の頃),Mōkyō Bungaku (蒙疆文學),
Akutagawa,Japan,1943,H2,Kaoru Tōnobe,Japan,Washi (和紙),Tōhoku Bungaku (東北文學),
Akutagawa,Japan,1944,H1,Yoshinori Yagi,Japan,Ryū Kanfū (劉廣福),Nihon Bungakusha (日本文學者),
Akutagawa,Japan,1944,H1,Jūzō Obi,Japan,Tōhan (登攀),Kokumin Bungaku (國民文學),
Akutagawa,Japan,1944,H2,Motoyoshi Shimizu,Japan,Karitachi (雁立),Nihon Bungakusha (日本文學者),
Akutagawa,Japan,1949,H1,Tsuyoshi Kotani,Japan,Kakushō (確証),Sakka (作家),
Akutagawa,Japan,1949,H1,Shigeko Yuki,Japan,Hon no Hanashi (本の話),Sakuhin (作品),
Akutagawa,Japan,1949,H2,Yasushi Inoue,Japan,"The Bullfight (闘牛, Tōgyū)",Bungakukai,
Akutagawa,Japan,1950,H1,Ryōichi Tsuji,Japan,Ihōjin (異邦人),Shin Shōsetsu (新小説),
Akutagawa,Japan,1950,H2,,Japan,,,No prize awarded
Akutagawa,Japan,1951,H1,Kōbō Abe,Japan,Kabe—S. Karuma shi no Hanzai (壁—S・カルマ氏の犯罪),Kindai Bungaku [ja],
Akutagawa,Japan,1951,H1,Toshimitsu Ishikawa,Japan,Haru no Kusa (春の草 他),Bungakukai,
Akutagawa,Japan,1951,H2,Yoshie Hotta,Japan,Hiroba no Kodoku (広場の孤独 他),Chūōkōron,
Akutagawa,Japan,1952,H1,,Japan,,,No prize awarded
Akutagawa,Japan,1952,H2,Kōsuke Gomi,Japan,Sōshin (喪神),Shinchō,
Akutagawa,Japan,1952,H2,Seichō Matsumoto,Japan,"Aru ""Kokura Nikki"" Den (或る「小倉日記」伝)",Mita Bungaku,
Akutagawa,Japan,1953,H1,Shōtarō Yasuoka,Japan,"Bad Company (悪い仲間, Warui Nakama)",Gunzō,
Akutagawa,Japan,1953,H1,Shōtarō Yasuoka,Japan,Inki na Tanoshimi (陰気な愉しみ),Shinchō,
Akutagawa,Japan,1953,H2,,Japan,,,No prize awarded
Akutagawa,Japan,1954,H1,Junnosuke Yoshiyuki,Japan,"Sudden Shower (驟雨・その他, Shūu, sono ta)",Bungakukai,
Akutagawa,Japan,1954,H2,Nobuo Kojima,Japan,"The American School (アメリカン・スクール, Amerikan Sukūru)",Bungakukai,
Akutagawa,Japan,1954,H2,Junzō Shōno,Japan,"Evenings at the Pool (プールサイド小景, Pūrusaido Shōkei)",Gunzō,
Akutagawa,Japan,1955,H1,Shūsaku Endō,Japan,"White Man (白い人, Shiroi Hito)",Kindai Bungaku [ja],
Akutagawa,Japan,1955,H2,Shintarō Ishihara,Japan,"Season of Violence (太陽の季節, Taiyō no Kisetsu)",Bungakukai,
Akutagawa,Japan,1956,H1,Keitarō Kondō,Japan,Amabune (海人舟),Bungakukai,
Akutagawa,Japan,1956,H2,,Japan,,,No prize awarded
Akutagawa,Japan,1957,H1,Itaru Kikumura,Japan,Iōjima (硫黄島),Bungakukai,
Akutagawa,Japan,1957,H2,Takeshi Kaikō,Japan,"The Naked King (裸の王様, Hadaka no Ōsama)",Bungakukai,
Akutagawa,Japan,1958,H1,Kenzaburō Ōe,Japan,"Prize Stock (飼育, Shiiku)",Bungakukai,
Akutagawa,Japan,1958,H2,,Japan,,,No prize awarded
Akutagawa,Japan,1959,H1,Shirō Shiba,Japan,Santō (山塔),Waseda Bungaku,
Akutagawa,Japan,1959,H2,,Japan,,,No prize awarded
Akutagawa,Japan,1960,H1,Morio Kita,Japan,Yoru to Kiri no Sumi de (夜と霧の隅で),Shinchō,
Akutagawa,Japan,1960,H2,Tetsuo Miura,Japan,"A Portrait of Shino (忍ぶ川, Shinobukawa)",Shinchō,
Akutagawa,Japan,1961,H1,,Japan,,,No prize awarded
Akutagawa,Japan,1961,H2,Kōichirō Uno,Japan,Kujiragami (鯨神),Bungakukai,
Akutagawa,Japan,1962,H1,Akira Kawamura,Japan,Bidan no Shuppatsu (美談の出発),Bungakugai (文学街),
Akutagawa,Japan,1962,H2,,Japan,,,No prize awarded
Akutagawa,Japan,1963,H1,Kiichi Gotō,Japan,Shōnen no Hashi (少年の橋),Yamagata Bungaku (山形文学),
Akutagawa,Japan,1963,H1,Kōno Taeko,Japan,"Crabs (蟹, Kani)",Bungakukai,
Akutagawa,Japan,1963,H2,Seiko Tanabe,Japan,Kanshō Ryokō (Senchimentaru Jāni) (感傷旅行 センチメンタル・ジャーニィ),Kōro (航路),
Akutagawa,Japan,1964,H1,Shō Shibata,Japan,Saredo Wareraga Hibi (されどわれらが日々──),Zō (象),
Akutagawa,Japan,1964,H2,,Japan,,,No prize awarded
Akutagawa,Japan,1965,H1,Setsuko Tsumura,Japan,"Playthings (玩具, Gangu)",Bungakukai,
Akutagawa,Japan,1965,H2,Yūichi Takai,Japan,Kita no Kawa (北の河),Sai (犀),
Akutagawa,Japan,1966,H1,,Japan,,,No prize awarded
Akutagawa,Japan,1966,H2,Kenji Maruyama,Japan,Natsu no Nagare (夏の流れ),Bungakukai,
Akutagawa,Japan,1967,H1,Tatsuhiro Ōshiro,Japan,"The Cocktail Party (カクテル・パーティー, Kakuteru Pātī)",Shin Okinawa Bungaku (新沖縄文学),
