prize,country,year,author,book_title,publisher,publisher_cumulative_count,notes
Goncourt,France,1903,John-Antoine Nau,Force ennemie,La Plume,,"Franco-américain d'expression française, premier à recevoir le Goncourt"
Goncourt,France,1904,Léon Frapié,La Maternelle,Albin Michel,,
Goncourt,France,1905,Claude Farrère,Les Civilisés,Paul Ollendorff,,
Goncourt,France,1906,Jérôme et Jean Tharaud,"Dingley, l'illustre écrivain",Édouard Pelletan,,
Goncourt,France,1907,Émile Moselly,Terres lorraines et  Jean des Brebis ou le Livre de la misère,Plon,,Unique cas d'un auteur récompensé pour 2 de ses livres
Goncourt,France,1908,Francis de Miomandre,Écrit sur de l'eau...,"Édition du Feu, puis  Émile-Paul Frères",,"Élu avec la moitié des voix  face à Jean Viollis qui en eut cinq lui-aussi.  Léon Hennique, président, décida du gagnant."
Goncourt,France,1909,Marius-Ary Leblond,En France,Fasquelle,,"Nom de plume de deux cousins, écrivains originaires de La Réunion"
Goncourt,France,1910,Louis Pergaud,De Goupil à Margot,Mercure de France,,
Goncourt,France,1911,Alphonse de Châteaubriant,Monsieur des Lourdines,Grasset,,
Goncourt,France,1912,André Savignon,Filles de la pluie,Grasset,2,
Goncourt,France,1913,Marc Elder,Le Peuple de la mer,Calmann-Lévy,,"Publié chez G. Oudin & Cie, le titre fut repris"
Goncourt,France,1914,Adrien Bertrand,L'Appel du sol,Calmann-Lévy,2,Décerné en 1916
Goncourt,France,1915,René Benjamin,Gaspard,Fayard,,
Goncourt,France,1916,Henri Barbusse,Le Feu,Flammarion,,
Goncourt,France,1917,Henry Malherbe,La Flamme au poing,Albin Michel,2,
Goncourt,France,1918,Georges Duhamel,Civilisation,Mercure de France,2,
Goncourt,France,1919,Marcel Proust,À l'ombre des jeunes filles en fleurs,Gallimard,,À la recherche du temps perdu (vol. 2)
Goncourt,France,1920,Ernest Pérochon,Nêne,Plon,2,Publié en 1914 aux éditions Clouzot
Goncourt,France,1921,René Maran,Batouala,Albin Michel,3,Premier écrivain noir récompensé
Goncourt,France,1922,Henri Béraud,Le Vitriol de Lune et Le Martyre de l'obèse,Albin Michel,4,
Goncourt,France,1923,Lucien Fabre,Rabevel ou le Mal des ardents,Gallimard,2,
Goncourt,France,1924,Thierry Sandre,"Le Chèvrefeuille, le Purgatoire, le Chapitre XIII",Gallimard,3,"Publié à la librairie Edgard Malfère, le titre fut repris"
Goncourt,France,1925,Maurice Genevoix,Raboliot,Grasset,3,
Goncourt,France,1926,Henri Deberly,Le Supplice de Phèdre,Gallimard,4,
Goncourt,France,1927,Maurice Bedel,Jérôme 60° latitude nord,Gallimard,5,
Goncourt,France,1928,Maurice Constantin-Weyer,Un homme se penche sur son passé,Rieder,,
Goncourt,France,1929,Marcel Arland,L'Ordre,Gallimard,6,
Goncourt,France,1930,Henri Fauconnier,Malaisie,Stock,,
Goncourt,France,1931,Jean Fayard,Mal d'amour,Fayard,2,
Goncourt,France,1932,Guy Mazeline,Les Loups,Gallimard,7,Année du Voyage au bout de la nuit de Céline
