prize,country,year,session,author,author_country,book_title,publisher,notes
Naoki,Japan,1935,H1,Matsutarō Kawaguchi,Japan,"Tsuruhachi Tsurujirō (鶴八鶴次郎), Fūryū Fukagawa Uta (風流深川唄; lit. Song of the Refined Fuka River), Meiji Ichidai Onna (明治一代女; lit. Meiji Era Woman)",,
Naoki,Japan,1935,H2,Uko Washio,Japan,"Yoshinochō Taiheiki (吉野朝太平記; lit. Chronicles of the Yoshino Era of Peace), etc.",,
Naoki,Japan,1936,H1,Chōgorō Kaionji,Japan,"Tenshō Onna Gassen (天正女合戦; lit. Tenshō Women's Battle), Budō Denraiki (武道傳來記, lit. Martial Arts Chronicles)",,
Naoki,Japan,1936,H2,Takatarō Kigi,Japan,Jinsei no Ahō (人生の阿呆; lit. A Fool's Life),,
Naoki,Japan,1937,H1,,Japan,,,No prize awarded
Naoki,Japan,1937,H2,Masuji Ibuse,Japan,"John Manjirō Hyōryūki (ジョン萬次郎漂流記; lit. The Drifting Chronicles of John Manjirō), etc.",,
Naoki,Japan,1938,H1,Sotoo Tachibana,Japan,Narin-denka e no Kaisō (ナリン殿下への回想; lit. Recollections of His Highness Narin),,
Naoki,Japan,1938,H2,Tadao Ooike,Japan,"Kabuto (兜首; lit. Helmet), Akitaguchi no Kyōdai (秋田口の兄弟; lit. The Akitaguchi Siblings)",,
Naoki,Japan,1939,H1,,Japan,,,No prize awarded
Naoki,Japan,1939,H2,,Japan,,,No prize awarded
Naoki,Japan,1940,H1,Chiyo Tsutsumi,Japan,"Koyubi (小指; lit. Pinky Finger), etc. Gunji Yuubin (軍事郵便; lit. Military Postal Service)",,Co-laureate
Naoki,Japan,1940,H1,Sensuke Kawachi,Japan,"Koyubi (小指; lit. Pinky Finger), etc. Gunji Yuubin (軍事郵便; lit. Military Postal Service)",,Co-laureate
Naoki,Japan,1940,H2,Genzō Murakami,Japan,"Kazusa Fudoki (上総風土記), etc.",,
Naoki,Japan,1941,H1,Sōjū Kimura,Japan,Unnan Shubihei (雲南守備兵; lit. Guards of the Southern Clouds),,
Naoki,Japan,1941,H2,,Japan,,,No prize awarded
Naoki,Japan,1942,H1,,Japan,,,No prize awarded
Naoki,Japan,1942,H2,Norio Taoka,Japan,"Gōjō Ichigo (強情いちご; lit. Stubborn Ichigo), etc. Kanyō (寛容; lit. Generosity), etc.",,Co-laureate
Naoki,Japan,1942,H2,Takio Kanzaki,Japan,"Gōjō Ichigo (強情いちご; lit. Stubborn Ichigo), etc. Kanyō (寛容; lit. Generosity), etc.",,Co-laureate
Naoki,Japan,1943,H1,,Japan,,,No prize awarded
Naoki,Japan,1943,H2,Sōichi Mori,Japan,"Yamahata (山畠), Ga to Sasabune (蛾と笹舟; lit. The Moth and the Toy Boat)",,
Naoki,Japan,1944,H1,Seizō Okada,Japan,Nyū Giniya Sangakusen (ニューギニヤ山岳戦; lit. New Guinea Mountain War),,
Naoki,Japan,1944,H2,,Japan,,,No prize awarded
Naoki,Japan,1949,H1,Tsuneo Tomita,Japan,"Omote (面; lit. Face), Irezumi (刺青; lit. Tattoo)",,
Naoki,Japan,1949,H2,Katsurō Yamada,Japan,Umi no Haien (海の廃園; lit. Abandoned Garden of the Sea),,
Naoki,Japan,1950,H1,Hidemi Kon,Japan,Tennō no Bōshi (天皇の帽子; lit. The Emperor's Hat) Shikkō Yūyo (執行猶予; lit. Stay of Execution),,Co-laureate
Naoki,Japan,1950,H1,Itoko Koyama,Japan,Tennō no Bōshi (天皇の帽子; lit. The Emperor's Hat) Shikkō Yūyo (執行猶予; lit. Stay of Execution),,Co-laureate
Naoki,Japan,1950,H2,Kazuo Dan,Japan,Chōgonka (長恨歌; lit. Chōgon Song) Shinsetsu Ishikawa Goemon (真説石川五右衛門; lit. True Theory Ishikawa Goemon),,
Naoki,Japan,1951,H1,Keita Genji,Japan,"Eigoya-san (英語屋さん; lit. Mr. English Shop), Taifū-san (颱風さん; lit. Mr. Typhoon), Gokurōsan (御苦労さん; lit. I Appreciate Your Hard Work)",,
Naoki,Japan,1951,H2,Juran Hisao,Japan,Suzuki Mondo (鈴木主水) Iesu no Ei (イエスの裔; lit. Descendant of Jesus),,Co-laureate
Naoki,Japan,1951,H2,Renzaburō Shibata,Japan,Suzuki Mondo (鈴木主水) Iesu no Ei (イエスの裔; lit. Descendant of Jesus),,Co-laureate
Naoki,Japan,1952,H1,Shinji Fujiwara,Japan,"Tsumina Onna (罪な女; lit. Sinful Woman), etc.",,
Naoki,Japan,1952,H2,Nobuyuki Tateno,Japan,Hanran (叛乱; lit. Insurrection),,
Naoki,Japan,1953,H1,,Japan,,,No prize awarded
Naoki,Japan,1953,H2,,Japan,,,No prize awarded
Naoki,Japan,1954,H1,Yorichika Arima,Japan,Shūshin Miketsushū (終身未決囚; lit. Unconvicted Prisoner For Life),,
Naoki,Japan,1954,H2,Haruo Umezaki,Japan,Boroya no Shunjū (ボロ家の春秋; lit. Spring and Autumn of the Scrap Merchant) Takayasu Inu Monogatari (高安犬物語; lit. Takayasu Dog Story),,Co-laureate
Naoki,Japan,1954,H2,Yukio Togawa,Japan,Boroya no Shunjū (ボロ家の春秋; lit. Spring and Autumn of the Scrap Merchant) Takayasu Inu Monogatari (高安犬物語; lit. Takayasu Dog Story),,Co-laureate
Naoki,Japan,1955,H1,,Japan,,,No prize awarded
Naoki,Japan,1955,H2,Jirō Nitta,Japan,Gōrikiden (強力伝; lit. The Life of A Mountain Carrier) Honkon (香港; lit. Hong Kong),,Co-laureate
Naoki,Japan,1955,H2,Eikan Kyū,Japan,Gōrikiden (強力伝; lit. The Life of A Mountain Carrier) Honkon (香港; lit. Hong Kong),,Co-laureate
Naoki,Japan,1956,H1,Norio Nanjō,Japan,Tōdaiki (燈台鬼; lit. Lighthouse Demon) Kabe no Hana (壁の花; lit. Wallflower),,Co-laureate
Naoki,Japan,1956,H1,Kanichi Kon,Japan,Tōdaiki (燈台鬼; lit. Lighthouse Demon) Kabe no Hana (壁の花; lit. Wallflower),,Co-laureate
Naoki,Japan,1956,H2,Tōkō Kon,Japan,Ogin-sama (お吟さま) Kachigarasu (勝烏; lit. Victory Crows),,Co-laureate
Naoki,Japan,1956,H2,Miharu Hozumi,Japan,Ogin-sama (お吟さま) Kachigarasu (勝烏; lit. Victory Crows),,Co-laureate
Naoki,Japan,1957,H1,Masanori Esaki,Japan,Ruson no Tanima (ルソンの谷間; lit. Valley of the Luzon),,
Naoki,Japan,1957,H2,,Japan,,,No prize awarded
Naoki,Japan,1958,H1,Toyoko Yamasaki,Japan,Hana Noren (花のれん; lit. Flower Shop Sign) Akai Yuki (赤い雪; lit. Red Snow),,Co-laureate
Naoki,Japan,1958,H1,Eiji Shinba,Japan,Hana Noren (花のれん; lit. Flower Shop Sign) Akai Yuki (赤い雪; lit. Red Snow),,Co-laureate
Naoki,Japan,1958,H2,Saburō Shiroyama,Japan,Sōkaiya Kinjō (総会屋錦城; lit. Extortionist Kinjō) Ochiru (落ちる; lit. Fall Down),,Co-laureate
Naoki,Japan,1958,H2,Kyō Takigawa,Japan,Sōkaiya Kinjō (総会屋錦城; lit. Extortionist Kinjō) Ochiru (落ちる; lit. Fall Down),,Co-laureate
Naoki,Japan,1959,H1,Kieko Watanabe,Japan,Mabechigawa (馬淵川) Taganeshi (鏨師; lit. Master Engraver),,Co-laureate
Naoki,Japan,1959,H1,Yumie Hiraiwa,Japan,Mabechigawa (馬淵川) Taganeshi (鏨師; lit. Master Engraver),,Co-laureate
Naoki,Japan,1959,H2,Ryōtarō Shiba,Japan,Fukurō no Shiro (梟の城; Owls' Castle) Danjūrō Seppuku Jiken (團十郎切腹事件; lit. The Danjūrō Seppuku Incident),,Co-laureate
Naoki,Japan,1959,H2,Yasuji Toita,Japan,Fukurō no Shiro (梟の城; Owls' Castle) Danjūrō Seppuku Jiken (團十郎切腹事件; lit. The Danjūrō Seppuku Incident),,Co-laureate
Naoki,Japan,1960,H1,Shōtarō Ikenami,Japan,Sakuran (錯乱; lit. Confusion),,
Naoki,Japan,1960,H2,Daikichi Terauchi,Japan,Hagure Nenbutsu (はぐれ念仏; lit. Stray Prayer) Haitoku no Mesu (背徳のメス; lit. Invitation to Corruption),,Co-laureate
Naoki,Japan,1960,H2,Jūgo Kuroiwa,Japan,Hagure Nenbutsu (はぐれ念仏; lit. Stray Prayer) Haitoku no Mesu (背徳のメス; lit. Invitation to Corruption),,Co-laureate
Naoki,Japan,1961,H1,Tsutomu Minakami,Japan,"The Temple of the Wild Geese (雁の寺, Gan no tera)",,
