prize,country,year,author,author_country,book_title,publisher,notes
Nobel Literature,Sweden,1901,Sully Prudhomme,France,,,
Nobel Literature,Sweden,1902,Theodor Mommsen,Empire allemand,,,
Nobel Literature,Sweden,1903,Bjørnstjerne Bjørnson,Norvège,,,
Nobel Literature,Sweden,1904,Frédéric Mistral,France,,,
Nobel Literature,Sweden,1904,José de Echegaray,Royaume d'Espagne,,,Co-laureate
Nobel Literature,Sweden,1905,Henryk Sienkiewicz,Royaume de Pologne,,,
Nobel Literature,Sweden,1906,Giosuè Carducci,Italie,,,
Nobel Literature,Sweden,1907,Rudyard Kipling,Royaume-Uni,,,
Nobel Literature,Sweden,1908,Rudolf Christoph Eucken,Empire allemand,,,
Nobel Literature,Sweden,1909,Selma Lagerlöf,Suède,,,
Nobel Literature,Sweden,1910,Paul Heyse,Empire allemand,,,
Nobel Literature,Sweden,1911,Maurice Maeterlinck,Belgique,,,
Nobel Literature,Sweden,1912,Gerhart Hauptmann,Empire allemand,,,
Nobel Literature,Sweden,1913,Rabindranath Tagore,Raj britannique,,,
Nobel Literature,Sweden,1914,,,,,No prize awarded
Nobel Literature,Sweden,1915,Romain Rolland,France,,,
Nobel Literature,Sweden,1916,Verner von Heidenstam,Suède,,,
Nobel Literature,Sweden,1917,Karl Adolph Gjellerup,Danemark,,,
Nobel Literature,Sweden,1917,Henrik Pontoppidan,Danemark,,,Co-laureate
Nobel Literature,Sweden,1918,,,,,No prize awarded
Nobel Literature,Sweden,1919,Carl Spitteler,Suisse,,,
Nobel Literature,Sweden,1920,Knut Pedersen Hamsun,Norvège,,,
Nobel Literature,Sweden,1921,Anatole France,France,,,
Nobel Literature,Sweden,1922,Jacinto Benavente,Royaume d'Espagne,,,
Nobel Literature,Sweden,1923,William Butler Yeats,Irlande,,,
Nobel Literature,Sweden,1924,Władysław Stanisław Reymont,Pologne,,,
Nobel Literature,Sweden,1925,George Bernard Shaw,Irlande,,,
Nobel Literature,Sweden,1926,Grazia Deledda,Italie,,,
Nobel Literature,Sweden,1927,Henri Bergson,France,,,
Nobel Literature,Sweden,1928,Sigrid Undset,Norvège,,,
Nobel Literature,Sweden,1929,Thomas Mann,Allemagne,,,
Nobel Literature,Sweden,1930,Sinclair Lewis,États-Unis,,,
Nobel Literature,Sweden,1931,Erik Axel Karlfeldt,Suède,,,
Nobel Literature,Sweden,1932,John Galsworthy,Royaume-Uni,,,
Nobel Literature,Sweden,1933,Ivan Bounine,Russe blanc,,,
Nobel Literature,Sweden,1934,Luigi Pirandello,Italie,,,
Nobel Literature,Sweden,1935,,,,,No prize awarded
Nobel Literature,Sweden,1936,Eugene O'Neill,États-Unis,,,
Nobel Literature,Sweden,1937,Roger Martin du Gard,France,,,
Nobel Literature,Sweden,1938,Pearl Buck,États-Unis,,,
Nobel Literature,Sweden,1939,Frans Emil Sillanpää,Finlande,,,
Nobel Literature,Sweden,1940,,,,,No prize awarded
Nobel Literature,Sweden,1944,Johannes V. Jensen,Danemark,,,
Nobel Literature,Sweden,1945,Gabriela Mistral,Chili,,,
Nobel Literature,Sweden,1946,Hermann Hesse,Allemand naturalisé,,,
Nobel Literature,Sweden,1947,André Gide,France,,,
Nobel Literature,Sweden,1948,T. S. Eliot,Royaume-Uni,,,
Nobel Literature,Sweden,1949,William Faulkner,États-Unis,,,
Nobel Literature,Sweden,1950,"Bertrand Arthur William, comte Russell",Royaume-Uni,,,
Nobel Literature,Sweden,1951,Pär Lagerkvist,Suède,,,
Nobel Literature,Sweden,1952,François Mauriac,France,,,
Nobel Literature,Sweden,1953,Winston Leonard Spencer Churchill,Royaume-Uni,,,
Nobel Literature,Sweden,1954,Ernest Hemingway,États-Unis,,,
Nobel Literature,Sweden,1955,Halldór Laxness,Islande,,,
Nobel Literature,Sweden,1956,Juan Ramón Jiménez,Espagne,,,
Nobel Literature,Sweden,1957,Albert Camus,France,,,
Nobel Literature,Sweden,1958,Boris Pasternak,Union soviétique,,,
Nobel Literature,Sweden,1959,Salvatore Quasimodo,Italie,,,
Nobel Literature,Sweden,1960,Saint-John Perse,France,,,
Nobel Literature,Sweden,1961,Ivo Andrić,Yougoslavie,,,
Nobel Literature,Sweden,1962,John Steinbeck,États-Unis,,,
Nobel Literature,Sweden,1963,Georges Séféris,Grèce,,,
Nobel Literature,Sweden,1964,Jean-Paul Sartre,France,,,
Nobel Literature,Sweden,1965,Mikhaïl Cholokhov,Union soviétique,,,
Nobel Literature,Sweden,1966,Samuel Joseph Agnon,Israël,,,
Nobel Literature,Sweden,1966,Nelly Sachs,Suède,,,Co-laureate
Nobel Literature,Sweden,1967,Miguel Ángel Asturias,Guatemala,,,
Nobel Literature,Sweden,1968,Yasunari Kawabata,Japon,,,
Nobel Literature,Sweden,1969,Samuel Beckett,Irlande,,,
Nobel Literature,Sweden,1970,Alexandre Soljenitsyne,Union soviétique,,,
Nobel Literature,Sweden,1971,Pablo Neruda,Chili,,,
Nobel Literature,Sweden,1972,Heinrich Böll,Allemagne de l'Ouest,,,
Nobel Literature,Sweden,1973,Patrick White,Australie,,,
Nobel Literature,Sweden,1974,Eyvind Johnson,Suède,,,
Nobel Literature,Sweden,1974,Harry Martinson,Suède,,,Co-laureate
Nobel Literature,Sweden,1975,Eugenio Montale,Italie,,,
Nobel Literature,Sweden,1976,Saul Bellow,États-Unis,,,
Nobel Literature,Sweden,1977,Vicente Aleixandre,Espagne,,,
Nobel Literature,Sweden,1978,Isaac Bashevis Singer,États-Unis,,,
Nobel Literature,Sweden,1979,Odysséas Elýtis,Grèce,,,
Nobel Literature,Sweden,1980,Czesław Miłosz,Pologne,,,
Nobel Literature,Sweden,1980,/,États-Unis,,,Co-laureate
Nobel Literature,Sweden,1981,Elias Canetti,Royaume-Uni,,,
Nobel Literature,Sweden,1981,/,Bulgarie,,,Co-laureate
Nobel Literature,Sweden,1982,Gabriel García Márquez,Colombie,,,
Nobel Literature,Sweden,1983,William Golding,Royaume-Uni,,,
Nobel Literature,Sweden,1984,Jaroslav Seifert,Tchécoslovaquie,,,
Nobel Literature,Sweden,1985,Claude Simon,France,,,
Nobel Literature,Sweden,1986,Wole Soyinka,Nigeria,,,
Nobel Literature,Sweden,1987,Joseph Brodsky,États-Unis,,,
Nobel Literature,Sweden,1988,Naguib Mahfouz,Égypte,,,
Nobel Literature,Sweden,1989,Camilo José Cela,Espagne,,,
Nobel Literature,Sweden,1990,Octavio Paz,Mexique,,,
Nobel Literature,Sweden,1991,Nadine Gordimer,Afrique du Sud,,,
Nobel Literature,Sweden,1992,Derek Walcott,Sainte-Lucie,,,
Nobel Literature,Sweden,1993,Toni Morrison,États-Unis,,,
Nobel Literature,Sweden,1994,Kenzaburō Ōe,Japon,,,
Nobel Literature,Sweden,1995,Seamus Heaney,Irlande,,,
Nobel Literature,Sweden,1996,Wisława Szymborska,Pologne,,,
Nobel Literature,Sweden,1997,Dario Fo,Italie,,,
Nobel Literature,Sweden,1998,José Saramago,Portugal,,,
Nobel Literature,Sweden,1999,Günter Grass,Allemagne,,,
Nobel Literature,Sweden,2000,Gao Xingjian,France,,,
Nobel Literature,Sweden,2001,V. S. Naipaul,Royaume-Uni,,,
Nobel Literature,Sweden,2002,Imre Kertész,Hongrie,,,
Nobel Literature,Sweden,2003,J. M. Coetzee,Afrique du Sud,,,
Nobel Literature,Sweden,2004,Elfriede Jelinek,Autriche,,,
Nobel Literature,Sweden,2005,Harold Pinter,Royaume-Uni,,,
Nobel Literature,Sweden,2006,Orhan Pamuk,Turquie,,,
Nobel Literature,Sweden,2007,Doris Lessing,Royaume-Uni,,,
Nobel Literature,Sweden,2008,J. M. G. Le Clézio,France,,,
Nobel Literature,Sweden,2008,/,Maurice,,,Co-laureate
Nobel Literature,Sweden,2009,Herta Müller,Allemagne,,,
Nobel Literature,Sweden,2009,/,Roumanie,,,Co-laureate
Nobel Literature,Sweden,2010,Mario Vargas Llosa,Pérou,,,
Nobel Literature,Sweden,2010,/,Espagne,,,Co-laureate
Nobel Literature,Sweden,2011,Tomas Tranströmer,Suède,,,
Nobel Literature,Sweden,2012,Mo Yan,Chine,,,
Nobel Literature,Sweden,2013,Alice Munro,Canada,,,
Nobel Literature,Sweden,2014,Patrick Modiano,France,,,
Nobel Literature,Sweden,2015,Svetlana Alexievitch,Biélorussie,,,
Nobel Literature,Sweden,2016,Bob Dylan,États-Unis,,,
Nobel Literature,Sweden,2017,Kazuo Ishiguro,Royaume-Uni,,,
Nobel Literature,Sweden,2018,Olga Tokarczuk,Pologne,,,
Nobel Literature,Sweden,2019,Peter Handke,Autriche,,,
Nobel Literature,Sweden,2020,Louise Glück,États-Unis,,,
Nobel Literature,Sweden,2021,Abdulrazak Gurnah,Tanzanie,,,
Nobel Literature,Sweden,2022,Annie Ernaux,France,,,
Nobel Literature,Sweden,2023,Jon Fosse,Norvège,,,
Nobel Literature,Sweden,2024,Han Kang,Corée du Sud,,,
Nobel Literature,Sweden,2025,László Krasznahorkai,Hongrie,,,
