prize,country,year,author,author_country,book_title,publisher,notes
Pulitzer Fiction,USA,1948,James A. Michener,USA,Tales of South Pacific,,
Pulitzer Fiction,USA,1949,James Gould Cozzens,USA,Guard of Honor,,
Pulitzer Fiction,USA,1950,A. B. Guthrie,USA,The Way West,,
Pulitzer Fiction,USA,1951,Conrad Richter,USA,The Town,,
Pulitzer Fiction,USA,1952,Herman Wouk,USA,The Caine Mutiny,,
Pulitzer Fiction,USA,1953,Ernest Hemingway,USA,The Old Man and the Sea,,
Pulitzer Fiction,USA,1954,,USA,,,No prize awarded
Pulitzer Fiction,USA,1955,William Faulkner,USA,A Fable,,
Pulitzer Fiction,USA,1956,MacKinlay Kantor,USA,Andersonville,,
Pulitzer Fiction,USA,1957,,USA,,,No prize awarded
Pulitzer Fiction,USA,1958,James Agee,USA,A Death in the Family,,
Pulitzer Fiction,USA,1959,Robert Lewis Taylor,USA,The Travels of Jaimie McPheeters,,
Pulitzer Fiction,USA,1960,Allen Drury,USA,Advise and Consent,,
Pulitzer Fiction,USA,1961,Harper Lee,USA,To Kill a Mockingbird,,
Pulitzer Fiction,USA,1962,Edwin O'Connor,USA,The Edge of Sadness,,
Pulitzer Fiction,USA,1963,William Faulkner,USA,The Reivers,,
Pulitzer Fiction,USA,1964,,USA,,,No prize awarded
Pulitzer Fiction,USA,1965,Shirley Ann Grau,USA,The Keepers of the House,,
Pulitzer Fiction,USA,1966,Katherine Anne Porter,USA,The Collected Stories of Katherine Anne Porter,,
Pulitzer Fiction,USA,1967,Bernard Malamud,USA,The Fixer,,
Pulitzer Fiction,USA,1968,William Styron,USA,The Confessions of Nat Turner,,
Pulitzer Fiction,USA,1969,N. Scott Momaday,USA,House Made of Dawn,,
Pulitzer Fiction,USA,1970,Jean Stafford,USA,The Collected Stories of Jean Stafford,,
Pulitzer Fiction,USA,1971,,USA,,,No prize awarded
Pulitzer Fiction,USA,1972,Wallace Stegner,USA,Angle of Repose,,
Pulitzer Fiction,USA,1973,Eudora Welty,USA,The Optimist's Daughter,,
Pulitzer Fiction,USA,1974,,USA,,,No prize awarded
Pulitzer Fiction,USA,1975,Michael Shaara,USA,The Killer Angels,,
Pulitzer Fiction,USA,1976,Saul Bellow,USA,Humboldt's Gift,,
Pulitzer Fiction,USA,1977,,USA,,,No prize awarded
Pulitzer Fiction,USA,1978,James Alan McPherson,USA,Elbow Room,,
Pulitzer Fiction,USA,1979,John Cheever,USA,The Stories of John Cheever,,
Pulitzer Fiction,USA,1980,Norman Mailer,USA,The Executioner's Song,,
Pulitzer Fiction,USA,1981,"John Kennedy Toole , à titre posthume",USA,A Confederacy of Dunces,,
Pulitzer Fiction,USA,1982,John Updike,USA,Rabbit Is Rich,,
Pulitzer Fiction,USA,1983,Alice Walker,USA,The Color Purple,,
Pulitzer Fiction,USA,1984,William J. Kennedy,USA,Ironweed,,
Pulitzer Fiction,USA,1985,Alison Lurie,USA,Foreign Affairs,,
Pulitzer Fiction,USA,1986,Larry McMurtry,USA,Lonesome Dove,,
Pulitzer Fiction,USA,1987,Peter Taylor,USA,A Summons to Memphis,,
Pulitzer Fiction,USA,1988,Toni Morrison,USA,Beloved,,
Pulitzer Fiction,USA,1989,Anne Tyler,USA,Breathing Lessons,,
Pulitzer Fiction,USA,1990,Oscar Hijuelos,USA,The Mambo Kings Play Songs of Love,,
Pulitzer Fiction,USA,1991,John Updike,USA,Rabbit at Rest,,
Pulitzer Fiction,USA,1992,Jane Smiley,USA,A Thousand Acres,,
Pulitzer Fiction,USA,1993,Robert Olen Butler,USA,A Good Scent from a Strange Mountain,,
Pulitzer Fiction,USA,1994,Annie Proulx,USA,The Shipping News,,
Pulitzer Fiction,USA,1995,Carol Shields,USA,The Stone Diaries,,
Pulitzer Fiction,USA,1996,Richard Ford,USA,Independence Day,,
Pulitzer Fiction,USA,1997,Steven Millhauser,USA,Martin Dressler: The Tale of an American Dreamer,,
Pulitzer Fiction,USA,1998,Philip Roth,USA,American Pastoral,,
Pulitzer Fiction,USA,1999,Michael Cunningham,USA,The Hours,,
Pulitzer Fiction,USA,2000,Jhumpa Lahiri,USA,Interpreter of Maladies,,
Pulitzer Fiction,USA,2001,Michael Chabon,USA,The Amazing Adventures of Kavalier & Clay,,
Pulitzer Fiction,USA,2002,Richard Russo,USA,Empire Falls,,
Pulitzer Fiction,USA,2003,Jeffrey Eugenides,USA,Middlesex,,
Pulitzer Fiction,USA,2004,Edward P. Jones,USA,The Known World,,
Pulitzer Fiction,USA,2005,Marilynne Robinson,USA,Gilead,,
Pulitzer Fiction,USA,2006,Geraldine Brooks,USA,March,,
Pulitzer Fiction,USA,2007,Cormac McCarthy,USA,The Road,,
Pulitzer Fiction,USA,2008,Junot Díaz,USA,The Brief Wondrous Life of Oscar Wao,,
Pulitzer Fiction,USA,2009,Elizabeth Strout,USA,Olive Kitteridge,,
Pulitzer Fiction,USA,2010,Paul Harding,USA,Tinkers,,
Pulitzer Fiction,USA,2011,Jennifer Egan,USA,A Visit from the Goon Squad,,
Pulitzer Fiction,USA,2012,,USA,,,No prize awarded
Pulitzer Fiction,USA,2013,Adam Johnson,USA,The Orphan Master's Son,,
Pulitzer Fiction,USA,2014,Donna Tartt,USA,The Goldfinch,,
Pulitzer Fiction,USA,2015,Anthony Doerr,USA,All the Light We Cannot See,,
Pulitzer Fiction,USA,2016,Viet Thanh Nguyen,USA,The Sympathizer,,
Pulitzer Fiction,USA,2017,Colson Whitehead,USA,The Underground Railroad,,
Pulitzer Fiction,USA,2018,Andrew Sean Greer,USA,Less,,
Pulitzer Fiction,USA,2019,Richard Powers,USA,The Overstory,,
