prize,country,year,author,book_title,publisher,publisher_cumulative_count,notes
Renaudot,France,1926,Armand Lunel,Nicolo-Peccavi ou l'Affaire Dreyfus à Carpentras,Gallimard,1.0,
Renaudot,France,1927,Bernard Nabonne,Maïtena,Fayard,,
Renaudot,France,1928,André Obey,Le Joueur de triangle,Grasset,1.0,
Renaudot,France,1929,Marcel Aymé,La Table-aux-crevés,Gallimard,2.0,
Renaudot,France,1930,Germaine Beaumont,Piège,Lemerre,,Première femme à obtenir le prix
Renaudot,France,1931,Philippe Hériat,L'Innocent,Denoël,1.0,
Renaudot,France,1932,Louis-Ferdinand Céline,Voyage au bout de la nuit,Denoël,2.0,
Renaudot,France,1933,Charles Braibant,Le roi dort,Denoël,3.0,
Renaudot,France,1934,Louis Francis,Blanc,Gallimard,3.0,
Renaudot,France,1935,François de Roux,Jours sans gloire,Gallimard,4.0,
Renaudot,France,1936,Louis Aragon,Les Beaux Quartiers,Denoël,4.0,
Renaudot,France,1937,Jean Rogissart,Mervale,Denoël,5.0,
Renaudot,France,1938,Pierre-Jean Launay,Léonie la bienheureuse,Denoël,6.0,Également Prix des Deux Magots
Renaudot,France,1939,Jean Malaquais,Les Javanais,Denoël,7.0,
Renaudot,France,1940,Jules Roy,La Vallée heureuse,Charlot,1.0,Prix décerné en 1946
Renaudot,France,1941,Paul Mousset,Quand le temps travaillait pour nous,Grasset,2.0,
Renaudot,France,1942,Robert Gaillard,Les Liens de chaîne,Colbert,,
Renaudot,France,1943,André Soubiran,J'étais médecin avec les chars,Didier,,
Renaudot,France,1944,Roger Peyrefitte,Les Amitiés particulières,Jean Vigneau,,Prix décerné en 1945
Renaudot,France,1945,Henri Bosco,Le Mas Théotime,Charlot,2.0,
Renaudot,France,1946,David Rousset,L'Univers concentrationnaire,Pavois,,
Renaudot,France,1947,Jean Cayrol,Je vivrai l'amour des autres,Seuil,1.0,
Renaudot,France,1948,Pierre Fisson,Voyage aux horizons,Julliard,1.0,
Renaudot,France,1949,Louis Guilloux,Le Jeu de patience,Gallimard,5.0,
Renaudot,France,1950,Pierre Molaine,Les Orgues de l'enfer,Corrêa,1.0,
Renaudot,France,1951,Robert Margerit,Le Dieu nu,Gallimard,6.0,
Renaudot,France,1952,Jacques Perry,L'Amour de rien,Julliard,2.0,
Renaudot,France,1953,Célia Bertin,La Dernière Innocence,Corrêa,2.0,
Renaudot,France,1954,Jean Reverzy,Le Passage,Julliard,3.0,
Renaudot,France,1955,Georges Govy,Le Moissonneur d'épines,La Table ronde,1.0,
Renaudot,France,1956,André Perrin,Le Père,Julliard,4.0,
Renaudot,France,1957,Michel Butor,La Modification,Minuit,,
Renaudot,France,1958,Édouard Glissant,La Lézarde,Seuil,2.0,
Renaudot,France,1959,Albert Palle,L'Expérience,Julliard,5.0,
Renaudot,France,1960,Alfred Kern,Le Bonheur fragile,Gallimard,7.0,
Renaudot,France,1961,Roger Bordier,Les Blés,Calmann-Lévy,1.0,
Renaudot,France,1962,Simonne Jacquemard,Le Veilleur de nuit,Seuil,3.0,
Renaudot,France,1963,J. M. G. Le Clézio,Le Procès-verbal,Gallimard,8.0,
Renaudot,France,1964,Jean-Pierre Faye,L'Écluse,Seuil,4.0,
Renaudot,France,1965,Georges Perec,Les Choses,Julliard,6.0,
Renaudot,France,1966,José Cabanis,La Bataille de Toulouse,Gallimard,9.0,
Renaudot,France,1967,Salvat Etchart,Le Monde tel qu'il est,Mercure de France,,
Renaudot,France,1968,Yambo Ouologuem,Le Devoir de violence,Seuil,5.0,Premier lauréat africain (Mali)
Renaudot,France,1969,Max-Olivier Lacamp,Les Feux de la colère,Grasset,3.0,
Renaudot,France,1970,Jean Freustié,Isabelle ou l'Arrière-saison,La Table ronde,2.0,
Renaudot,France,1971,Pierre-Jean Rémy,Le Sac du palais d'été,Gallimard,10.0,
Renaudot,France,1972,Christopher Frank,La Nuit américaine,Seuil,6.0,
Renaudot,France,1973,Suzanne Prou,La Terrasse des Bernardini,Calmann-Lévy,2.0,
Renaudot,France,1974,Georges Borgeaud,Le Voyage à l'étranger,Grasset,4.0,Premier lauréat suisse
Renaudot,France,1975,Jean Joubert,L'Homme de sable,Grasset,5.0,
Renaudot,France,1976,Michel Henry,L'Amour les yeux fermés,Gallimard,11.0,
Renaudot,France,1977,Alphonse Boudard,Les Combattants du petit bonheur,La Table ronde,3.0,
Renaudot,France,1978,Conrad Detrez,L'Herbe à brûler,Calmann-Lévy,3.0,Premier lauréat belge
Renaudot,France,1979,Jean-Marc Roberts,Affaires étrangères,Seuil,7.0,
Renaudot,France,1980,Danièle Sallenave,Les Portes de Gubbio,Hachette,,
Renaudot,France,1981,Michel del Castillo,La Nuit du décret,Seuil,8.0,
Renaudot,France,1982,Georges-Olivier Châteaureynaud,La Faculté des songes,Grasset,6.0,
