year,total_awards,distinct_prizes_active,prizes_list
2000,13,7,"Akutagawa Prize,Booker Prize,Naoki Prize,Nobel Prize in Literature,Prix Goncourt,Prix Renaudot,Pulitzer Prize for Fiction"
1988,12,7,"Akutagawa Prize,Booker Prize,Naoki Prize,Nobel Prize in Literature,Prix Goncourt,Prix Renaudot,Pulitzer Prize for Fiction"
2021,12,7,"Akutagawa Prize,Booker Prize,Naoki Prize,Nobel Prize in Literature,Prix Goncourt,Prix Renaudot,Pulitzer Prize for Fiction"
2003,12,7,"Akutagawa Prize,Booker Prize,Naoki Prize,Nobel Prize in Literature,Prix Goncourt,Prix Renaudot,Pulitzer Prize for Fiction"
1991,12,7,"Akutagawa Prize,Booker Prize,Naoki Prize,Nobel Prize in Literature,Prix Goncourt,Prix Renaudot,Pulitzer Prize for Fiction"
2023,12,7,"Akutagawa Prize,Booker Prize,Naoki Prize,Nobel Prize in Literature,Prix Goncourt,Prix Renaudot,Pulitzer Prize for Fiction"
1978,11,7,"Akutagawa Prize,Booker Prize,Naoki Prize,Nobel Prize in Literature,Prix Goncourt,Prix Renaudot,Pulitzer Prize for Fiction"
1972,11,7,"Akutagawa Prize,Booker Prize,Naoki Prize,Nobel Prize in Literature,Prix Goncourt,Prix Renaudot,Pulitzer Prize for Fiction"
1974,11,6,"Akutagawa Prize,Booker Prize,Naoki Prize,Nobel Prize in Literature,Prix Goncourt,Prix Renaudot"
1987,11,7,"Akutagawa Prize,Booker Prize,Naoki Prize,Nobel Prize in Literature,Prix Goncourt,Prix Renaudot,Pulitzer Prize for Fiction"
